# 1: Bin number
# 2: r
# 3: g(r)
0	0.008	0
1	0.024	0
2	0.04	0
3	0.056	0
4	0.072	0
5	0.088	0
6	0.104	0
7	0.12	0
8	0.136	0
9	0.152	0
10	0.168	0
11	0.184	0
12	0.2	0
13	0.216	0
14	0.232	0
15	0.248	0
16	0.264	0
17	0.28	0
18	0.296	0
19	0.312	0
20	0.328	0
21	0.344	0
22	0.36	0
23	0.376	0
24	0.392	0
25	0.408	0
26	0.424	0
27	0.44	0
28	0.456	0
29	0.472	0
30	0.488	0
31	0.504	0
32	0.52	0
33	0.536	0
34	0.552	0
35	0.568	0
36	0.584	0
37	0.6	0
38	0.616	0
39	0.632	0
40	0.648	0
41	0.664	0
42	0.68	0
43	0.696	0
44	0.712	0
45	0.728	0
46	0.744	0
47	0.76	0
48	0.776	0
49	0.792	0
50	0.808	0
51	0.824	0
52	0.84	0
53	0.856	0
54	0.872	0
55	0.888	0
56	0.904	0
57	0.92	0
58	0.936	0
59	0.952	0
60	0.968	0
61	0.984	0
62	1	0
63	1.016	0
64	1.032	0
65	1.048	0
66	1.064	0
67	1.08	0
68	1.096	0
69	1.112	0
70	1.128	0
71	1.144	0
72	1.16	0
73	1.176	0
74	1.192	0
75	1.208	0
76	1.224	0
77	1.24	0
78	1.256	0
79	1.272	0
80	1.288	0
81	1.304	0
82	1.32	0
83	1.336	0
84	1.352	0
85	1.368	0
86	1.384	0
87	1.4	0
88	1.416	0
89	1.432	0
90	1.448	0
91	1.464	0
92	1.48	0
93	1.496	0
94	1.512	0
95	1.528	0
96	1.544	0
97	1.56	0
98	1.576	0
99	1.592	0
100	1.608	0
101	1.624	0
102	1.64	0
103	1.656	0
104	1.672	0
105	1.688	0
106	1.704	0
107	1.72	0
108	1.736	0
109	1.752	0
110	1.768	0
111	1.784	0
112	1.8	0
113	1.816	0
114	1.832	0
115	1.848	0
116	1.864	0
117	1.88	0
118	1.896	0
119	1.912	0
120	1.928	0
121	1.944	0
122	1.96	0
123	1.976	0
124	1.992	0
125	2.008	0
126	2.024	0
127	2.04	0
128	2.056	0
129	2.072	0
130	2.088	0
131	2.104	0
132	2.12	0
133	2.136	0
134	2.152	0
135	2.168	0
136	2.184	0
137	2.2	0
138	2.216	0
139	2.232	0
140	2.248	0
141	2.264	0
142	2.28	0.00247428
143	2.296	0.00487983
144	2.312	0.00240626
145	2.328	0.0118665
146	2.344	0.0234101
147	2.36	0.055425
148	2.376	0.177714
149	2.392	0.289992
150	2.408	0.505756
151	2.424	0.871238
152	2.44	1.26817
153	2.456	1.93832
154	2.472	2.70474
155	2.488	3.49705
156	2.504	4.16024
157	2.52	4.80635
158	2.536	5.67388
159	2.552	6.07497
160	2.568	6.31352
161	2.584	6.20861
162	2.6	6.0411
163	2.616	5.52951
164	2.632	4.70122
165	2.648	4.21901
166	2.664	3.51422
167	2.68	2.99961
168	2.696	2.31997
169	2.712	1.89395
170	2.728	1.64884
171	2.744	1.26923
172	2.76	1.23429
173	2.776	1.15668
174	2.792	1.03786
175	2.808	1.16636
176	2.824	1.36285
177	2.84	1.49425
178	2.856	1.54693
179	2.872	1.69504
180	2.888	1.81665
181	2.904	1.96445
182	2.92	1.97617
183	2.936	2.16956
184	2.952	2.36308
185	2.968	2.29386
186	2.984	2.0931
187	3	2.05083
188	3.016	2.0065
189	3.032	2.00916
190	3.048	1.86491
191	3.064	1.66189
192	3.08	1.48468
193	3.096	1.38886
194	3.112	1.25375
195	3.128	1.09373
196	3.144	0.882235
197	3.16	0.698143
198	3.176	0.62992
199	3.192	0.497382
